序号,单词,exchange,音标,中文意思,
996,debt,,/det/,n.债务；欠款,
997,decade,,/ˈdekeɪd/,n.十年期,
998,December,,/dɪˈsembə(r)/,n.12月,
999,decide,,/dɪˈsaɪd/,v.决定；下决心,
1000,decision,,/dɪˈsɪʒ(ə)n/,n.决定；决心,
1001,declare,,/dɪˈkleə(r)/,vt.声明；断言,
1002,decline,,/dɪˈklaɪn/,v.减少，下降，衰退，谢绝,
1003,decorate,,/ˈdekəreɪt/,vt.装饰…，修饰…,
1004,decoration,,/dekəˈreɪʃ(ə)n/,n.装饰，修饰,
1005,decrease,,/dɪˈkriːs/,v.减少，减小，降低,
1006,deed,,/diːd/,n.行为；事迹,
1007,deep,,/diːp/,a.深ad.深；深厚,
1008,deeply,,/ˈdiːplɪ/,ad.深深地,
1009,deer,,/dɪə(r)/,n.鹿,
1010,defeat,,/dɪˈfiːt/,vt.击败；战胜,
1011,defence,(美defense),/dɪ'fens/,n.&v.防御；防务,
1012,defend,,/dɪˈfend/,vt.防守；保卫,
1013,degree,,/dɪˈɡriː/,n.程度；度数；学位,
1014,delay,,/dɪˈleɪ/,v.&n.拖延，延误，延迟，延期；耽搁,
1015,delete,,/dɪˈliːt/,v.删去,
1016,deliberately,,/dɪˈlɪbərətlɪ/,ad.故意，蓄意，存心,
1017,delicate,,/ˈdelɪkət/,a.易损的，易碎的,
1018,delicious,,/dɪˈlɪʃəs/,a.美味的，可口的,
1019,delight,,/dɪˈlaɪt/,n.快乐；乐事,
1020,delighted,,/dɪ'laɪtɪd/,a.高兴的，快乐的,
1021,deliver,,/dɪˈlɪvə(r)/,vt.投递（信件，邮包等）,
1022,demand,,/dɪˈmɑːnd;(US)dɪˈmænd/,vt.要求,
1023,dentist,,/ˈdentɪst/,n.牙科医生,
1024,department,,/dɪˈpɑːtmənt/,n.部门；（机关的）司，处；（大学的）系,
1025,department,(缩Dept.),/dɪˈpɑːtmənt/,n.部门；（机关的）司，处；（大学的）系,
1026,department-store,,/dɪˈpɑːtmənt-stɔː(r)/,n.百货商场,
1027,departure,,/dɪˈpɑːtʃə(r)/,n.离开，启程,
1028,depend,,/dɪˈpend/,vi.依靠，依赖，指望；取决于,
1029,deposit,,/dɪˈpɔzɪt/,v./n.订金，押金，放下，放置，储存,
1030,depth,,/depθ/,n.深，深度,
1031,describe,,/dɪˈskraɪb/,vt.描写，叙述,
1032,description,,/dɪˈskrɪpʃ(ə)n/,n.描述，描写,
1033,desert,,/dɪˈzɜːt/,n.沙漠vt.舍弃；遗弃,
1034,deserve,,/dɪˈzɜːv/,v.（不用于进行时态）应得，应受,
1035,design,,/dɪˈzaɪn/,n.&vt.n.设计，策划图案，图样，样式,
1036,desire,,/dɪˈzaɪə(r)/,vt.&n.要求；期望,
1037,desk,,/desk/,n.书桌，写字台,
1038,desperate,,/ˈdespərət/,a.（因绝望而）不惜冒险的，不顾一切的，拼命的,
1039,dessert,,/dɪˈzɜːt/,n.甜点,
1040,destination,,/destɪˈneɪʃ(ə)n/,n.目的地，终点,
1041,destroy,,/dɪˈstrɔɪ/,vt.破坏，毁坏,
1042,detective,,/dɪˈtektɪv/,n.侦探,
1043,determination,,/dɪtɜːmɪˈneɪʃ(ə)n/,n.决心,
1044,determine,,/dɪˈtɜːmɪn/,vt.决定；决心,
1045,develop,,/dɪˈveləp/,v.（使）发展；（使）发达；（使）发育；开发vt.冲洗（照片）,
1046,development,,/dɪˈveləpmənt/,n.发展，发达，发育，开发,
1047,devote,,/dɪˈvəʊt/,vt.把…奉献，把…专用（于）,
1048,devotion,,/dɪˈvəʊʃ(ə)n/,n.奉献，奉献精神,
1049,diagram,,/ˈdaɪəɡræm/,n.图表，图样,
1050,dial,,/ˈdaɪ(ə)l/,vt.拨（电话号码）,
1051,dialogue,,/ˈdaɪəlɔɡ/,(美dialog)n.对话,
1052,diamond,,/ˈdaɪəmənd/,n.钻石，金刚石；纸牌中的方块,
1053,diary,,/ˈdaɪərɪ/,n.日记；日记簿,
1054,dictation,,/dɪkˈteɪʃ(ə)n/,n.听写,
1055,dictionary,,/ˈdɪkʃənərɪ;(US)ˈdɪkʃənerɪ/,n.词典，字典,
1056,die,,/daɪ/,v.死,
1057,diet,,/daɪ/,n.饮食,
1058,differ,,/ˈdɪfə(r)/,v.相异，有区别,
1059,difference,,/ˈdɪfrəns/,n.不同,
1060,different,,/ˈdɪfrənt/,a.不同的，有差异的,
1061,difficult,,/ˈdɪfɪkəlt/,a.难；艰难；不易相处,
1062,difficulty,,/ˈdɪfɪkəltɪ/,n.困难，费力,
1063,dig(dug，dug),,/dɪɡ/,v.挖（洞沟），掘,
1064,digest,,/dɪˈdʒest，daɪˈdʒest/,v.消化，领会,
1065,digital,,/ˈdɪdʒɪt(ə)l/,a..数字的，数码的,
1066,dignity,,/ˈdɪɡnɪtɪ/,n.庄重，庄严，尊严。尊贵，高尚,
1067,dilemma,,/daɪˈlemə/,n.（进退两难的）窘境，困境,
1068,dimension,,/dɪˈmenʃ(ə)n/,n.量度，尺寸，面积，程度，范围,
1069,dine,,/daɪn/,v.吃饭；（指正式）进餐,
1070,dining-room,,/'daɪnɪŋ-rʊm/,食堂，饭厅,
1071,dinner,,/ˈdɪnə(r)/,n.正餐，宴会,
1072,dinosaur,,/ˈdaɪnəsɔː(r)/,n.恐龙,
1073,dioxide,,/daɪˈɔksaɪd/,n.二氧化物,
1074,dip,,/dɪp/,vt.浸，蘸；把…放入又取出,
1075,diploma,,/dɪˈpləʊmə/,n.毕业文凭；学位证书,
1076,direct,,/dɪˈrekt，daɪˈrekt/,a./vt.直接的；直达的；直截了当的指挥；指导；监督；管理；指挥（演奏）；导演（电影）,
1077,direction,,/dɪˈrekʃ(ə)n，daɪˈrekʃ(ə)n/,n.方向；方位,
1078,director,,/dɪˈrektə(r)/,n.所长，处长，主任；董事；导演,
1079,directory,,/dɪˈrektərɪ/,n.姓名地址录,
1080,dirt,,/dɜːt/,n.污物；脏物,
1081,dirty,,/ˈdɜːtɪ/,a.脏的,
1082,disability,,/dɪsəˈbɪlɪtɪ/,n..残疾；无能,
1083,disabled,,/dɪsˈeɪb(ə)ld/,a.残废的，残疾的,
1084,disadvantage,,/dɪsədˈvɑːntɪdʒ/,n.不利条件；弱点,
1085,disagree,,/dɪsəˈɡriː/,vi.意见不一致，持不同意见,
1086,disagreement,,/dɪsəˈɡriːmənt/,n.意见不一致；相违；争论,
1087,disappear,,/dɪsəˈpɪə(r)/,vi.消失,
1088,disappoint,,/dɪsəˈpɔɪnt/,vt.使失望,
1089,disappointment,,/dɪsəˈpɔɪntmənt/,n.失望；沮丧,
1090,disaster,,/dɪˈzɑːstə(r);(US)dɪzˈæstər/,n.灾难；祸患,
1091,discount,,/ˈdɪskaʊnt/,n.折扣,
1092,discourage,,/dɪˈskʌrɪdʒ/,vt.（使）气馁；打消（做…的念头）,
1093,discover,,/dɪˈskʌvə(r)/,vt.发现,
1094,discovery,,/dɪˈskʌvərɪ/,n.发现,
1095,discrimination,,/dɪskrɪmɪˈneɪʃ(ə)n/,n.歧视,
1096,discuss,,/dɪsˈkʌs/,vt.讨论，议论,
1097,discussion,,/dɪsˈkʌʃ(ə)n/,n.讨论，辩论,
1098,disease,,/dɪˈziːz/,n.病，疾病,
1099,disgusting,,/dɪsˈɡʌstɪŋ/,a.极糟的，令人不快的，令人厌恶的,
1100,dish,,/dɪʃ/,n.盘，碟；盘装菜；盘形物,
1101,disk,(disc),/dɪsk/,n.磁盘,
1102,dislike,,/dɪsˈlaɪk/,vt.不喜爱；厌恶,
1103,dismiss,,/dɪsˈmɪs/,vt.让……离开；遣散；解散；解雇,
1104,disobey,,/dɪsəˈbeɪ/,vt.不服从,
1105,distance,,/ˈdɪstəns/,n.距离,
1106,distant,,/ˈdɪst(ə)nt/,a.远的，遥远的,
1107,distinction,,/dɪˈstɪŋkʃ(ə)n/,n.差别，区别，优秀，卓越,
1108,distinguish,,/dɪˈstɪŋɡwɪʃ/,v.区分，辨别，分清,
1109,distribute,,/dɪˈstrɪbjuːt/,v.分发，分配,
1110,district,,/ˈdɪstrɪkt/,n.区；地区；区域,
1111,disturb,,/dɪˈstɜːb/,vt.扰乱；打扰,
1112,disturbing,,/dɪˈstɜːbɪŋ/,a.令人不安的，引起恐慌的,
1113,dive,,/daɪv/,vi.跳水,
1114,diverse,,/daɪˈvɜːs/,v.不同的，多种多样，形形色色的,
1115,divide,,/dɪˈvaɪd/,vt.分，划分,
1116,division,,/dɪˈvɪʒ(ə)n/,n.（算术用语）除,
1117,divorce,,/dɪˈvɔːs/,v.离婚,
1118,dizzy,,/ˈdɪzɪ/,a.头眩目晕的,
1119,do,,/dʊ，duː/,v.&aux.做，干,
1120,did,,/dɪd/,v.&aux.(do的过去式)做，干,
1121,done,(do的过去分词),/dʌn/,v.&aux.做，干,
1122,don't,(do not),/dəʊnt/,不做，不干,
1123,doctor,,/ˈdɔktə(r)/,n.医生，大夫；博士,
1124,document,,/ˈdɔkjʊmənt/,n.文件；文献,
1125,does,,/dʌz/,do的第三人称单数现在式,
1126,dog,,/dɔɡ;(US)dɔːɡ/,n.狗,
1127,doll,,/dɔl;(US)dɔːl/,n.玩偶，玩具娃娃,
1128,dollar,,/dɔl;(US)dɔːl/,n.元（美国、加拿大、澳大利亚等国货币单位）,
1129,door,,/dɔː(r)/,n.门,
1130,dormitory,(缩写式dorm),/ˈdɔːmɪtərɪ;(US)ˈdɔːrmɪtɔːrɪ/,n.学生宿舍,
1131,dot,,/dɔt/,n.点，小点，圆点,
1132,double,,/ˈdʌb(ə)l/,a.两倍.双的n.两个.双,
1133,doubt,,/daʊt/,n.&v.怀疑，疑惑,
1134,down,,/daʊn/,prep.沿着，沿…而下ad.向下,
1135,download,,/'daʊnləʊd/,n.&v.下载,
1136,downstairs,,/ˈdaʊnsteəz/,ad.在楼下；到楼下,
1137,downtown,,/ˈdaʊntaʊn/,ad.往或在城市的商业区（或中心区、闹市区）n.城市的商业区，中心区，闹市区,
1138,downward,,/ˈdaʊnwəd/,ad.向下,
1139,dozen,,/ˈdaʊnwəd/,n.十二个；几十，许多,
1140,Dr,(缩Doctor),//,n.医生，大夫；博士,
1141,draft,,/drɑːft;(US)dræft/,n./v.草稿，草案，起草，草拟,
1142,drag,,/dræɡ/,v.拖；拽,
1143,draw,,/drɔː/,v.绘画；绘制；拉，拖；提取（金钱）,
1144,drew,,/drɔː/,v.绘画；绘制；拉，拖；提取（金钱）,
1145,drawn,,/drɔː/,v.绘画；绘制；拉，拖；提取（金钱）,
1146,draw,(drew，drawn),/drɔː/,v.绘画；绘制；拉，拖；提取（金钱）,
1147,drawback,,/ˈdrɔːbæk/,n.缺点，不利条件,
1148,drawer,,/ˈdrɔːə(r)/,n.抽屉,
1149,drawing,,/ˈdrɔːɪŋ/,n.图画，素描，绘画,
1150,dream,,/driːm/,n.&vt.梦，梦想,
1151,dream,(dreamt或--ed),/driːm/,n.&vt.梦，梦想,
1152,dress,,/dres/,n.女服，连衣裙；(统指)服装；童装v.穿衣；穿着,
1153,drier,(dryer),/ˈdraɪə(r)/,n.烘干机；吹风机,
1154,drill,,/drɪl/,n.钻头；（反复的）训练vt.钻(孔)，在…上钻孔；重复训练,
1155,drink,,/drɪŋk/,n.饮料；喝酒,
1156,drink,,/drɪŋk/,v.喝，饮,
1157,drank,,/drɪŋk/,v.喝，饮,
1158,drunk,,/drɪŋk/,v.喝，饮,
1159,drink,(drank，drunk),/drɪŋk/,v.喝，饮,
1160,drive,,/draɪv/,v.驾驶，开（车）；驱赶,
1161,drove,,/draɪv/,v.驾驶，开（车）；驱赶,
1162,driven,,/draɪv/,v.驾驶，开（车）；驱赶,
1163,drive,(drove，driven),/draɪv/,v.驾驶，开（车）；驱赶,
1164,driver,,/ˈdraɪvə(r)/,n.司机，驾驶员,
1165,drop,,/drɔp/,n.滴v.掉下.落下.投递.放弃,
1166,drown,,/draʊn/,vi.溺死；淹没,
1167,drug,,/drʌɡ/,n.药，药物；毒品,
1168,drum,,/drʌm/,n.鼓,
1169,drunk,,/drʌŋk/,a.醉的,
1170,dry,,/draɪ/,v.使…干；弄干；擦干a.干的；干燥的,
1171,duck,,/dʌk/,n.鸭子,
1172,due,,/djuː;(US)duː/,a.预期的；约定的,
1173,dull,,/dʌl/,a.阴暗的；单调无味,
1174,dumpling,,/ˈdʌmplɪŋ/,n.饺子,
1175,during,,/ˈdjʊərɪŋ;(US)ˈdʊərɪŋ/,prep.在…期间；在…过程中,
1176,dusk,,/dʌsk/,n.黄昏,
1177,dust,,/dʌst/,n.灰尘，尘土,
1178,dustbin,,/ˈdʌstbɪn/,n.垃圾箱,
1179,dusty,,/ˈdʌstɪ/,a.尘土般的，尘土多的,
1180,duty,,/ˈdjuːtɪ;(US)ˈduːtɪ/,n.责任，义务,
1181,DVD,(digital versatile disk),/'diː'viː'diː/,数码影碟,
1182,Dynamic,,/daɪˈnæmɪk/,a.充满活力，精力充沛的,
1183,Dynasty,,/ˈdɪnəstɪ;(US)ˈdaɪnəstɪ/,n.王朝，朝代,
1184,each,,/iːtʃ/,a.&pron.每人.每个.每件,
1185,eager,,/ˈiːɡə(r)/,a.渴望的，热切的,
1186,eagle,,/ˈiːɡ(ə)l/,n.鹰,
1187,ear,,/ɪə(r)/,n.耳朵.耳状物；听力，听觉,
1188,early,,/ɜːlɪ/,a.早的ad.早地,
1189,earn,,/ɜːn/,vt.挣得，赚得,
1190,earth,,/ɜːθ/,n.地球；土，泥；大地,
1191,earthquake,,/ˈɜːθkweɪk/,n.地震,
1192,ease,,/iːz/,v.减轻；缓解（难度或严重程度）,
1193,easily,,/ˈiːzɪlɪ/,ad.容易地,
1194,east,,/iːst/,a.东方；东部的；朝东的；从东方来ad.在东方；向东方；从东方n.东，东方；东部,
1195,Easter,,/ˈiːstə(r)/,n.复活节,
1196,eastern,,/ˈiːst(ə)n/,a.东方的；东部的,
1197,eastwards,,/ˈiːstwədz/,ad.向东,
1198,easy,,/ˈiːzɪ/,a.容易的，不费力的,
1199,easy--going,,/ˈiːzɪ-ˈɡəʊɪŋ/,a.随和的,
1200,eat,,/iːt/,v.吃,
1201,ate,(eat的过去式),/eɪt/,v.吃,
1202,eaten,(eat的过去分词),/'iːtn/,v.吃,
1203,eat,(ate，eaten),/iːt/,v.吃,
1204,ecology,,/ɪˈkɔlədʒɪ/,n.生态，生态学,
1205,edge,,/edʒ/,n.边缘,
1206,edition,,/ɪˈdɪʃ(ə)n/,n.（发行物的）版，版（本）,
1207,editor,,/ˈedɪtə(r)/,n.编辑,
1208,educate,,/ˈedjʊkeɪt/,vt.教育，培养,
1209,educator,,/'edjuːkeɪtə(r)/,n.教育家,
1210,education,,/edjʊˈkeɪʃ(ə)n/,n.教育，培养,
1211,effect,,/ɪˈfekt/,n.效果；作用,
1212,effort,,/ˈefət/,n.努力，艰难的尝试,
1213,egg,,/eɡ/,n.蛋；卵,
1214,eggplant,,/ˈeɡplɑːnt/,n.茄子,
1215,Egypt,,/ˈiːdʒɪpt/,n.埃及,
1216,Egyptian,,/ɪˈdʒɪpʃ(ə)n/,a.埃及的；埃及人的；埃及语的n.埃及人,
1217,eight,,/eɪt/,num.八,
1218,eighteen,,/ˈeɪˈtiːn/,num.十八,
1219,eighth,,/eɪtθ/,num.第八,
1220,eighty,,/ˈeɪtɪ/,num.八十,
1221,either,,/ˈaɪðə(r)/,a.两方任一方的；二者之一conj.二者之一；要么……,
1222,ad.,,/æd/,(用于否定句或短语后)也,
1223,elder,,/ˈeldə(r)/,n.长者；前辈,
1224,elect,,/ɪˈlekt/,vt.（投票）选举,
1225,electric,,/ɪˈlektrɪk/,a.电的,
1226,electrical,,/ɪˈlektrɪk(ə)l/,a.电的；电器的,
1227,electricity,,/ɪlekˈtrɪsɪtɪ/,n.电；电流,
1228,electronic,,/ɪlekˈtrɔnɪk/,a.电子的,
1229,elegant,,/ˈelɪɡənt/,a.文雅的，漂亮的，精美的,
1230,elephant,,/ˈelɪfənt/,n.象,
1231,eleven,,/ɪˈlev(ə)n/,num.十一,
1232,else,,/els/,ad.别的，其他的,
1233,e-mail/e,,/iː-meɪl/,]n.电子邮件,
1234,embarrass,,/ɪmˈbærəs/,v.使窘迫，尴尬,
1235,embassy,,/ˈembəsɪ/,n.大使馆,
1236,emergency,,/ɪˈmɜːdʒənsɪ/,n.紧急情况或状态,
1237,emperor,,/ˈempərə(r)/,n.皇帝,
1238,empire,,/ˈempaɪə(r)/,n.帝国,
1239,employ,,/ɪmˈplɔɪ/,vt.雇佣,
1240,empty,,/ˈemptɪ/,a.空的,
1241,encourage,,/ɪnˈkʌrɪdʒ/,vt.鼓励,
1242,encouragement,,/ɪnˈkʌrɪdʒmənt/,n.鼓励,
1243,end,,/end/,n.末尾；终点；结束v.结束，终止,
1244,ending,,/ˈendɪŋ/,n.结局；结尾，最后,
1245,endless,,/ˈendlɪs/,a.无止境的；没完的,
1246,enemy,,/ˈenɪmɪ/,n.敌人；敌军,
1247,energetic,,/enəˈdʒetɪk/,a.精力旺盛的,
1248,energ,,/ˈenədʒɪ/,yn.精力，能量,
1249,engine,,/ˈendʒɪn/,n.发动机，引擎,
1250,engineer,,/endʒɪˈnɪə(r)/,n.工程师；技师,
1251,England,,/ˈɪŋɡlənd/,n.英格兰,
1252,English,,/ˈɪŋɡlɪʃ/,a.英国的，英国人的，英语的n.英语,
1253,English-speaking,,/ˈɪŋɡlɪʃ-spiːk/,a.说英语的,
1254,enjoy,,/ɪnˈdʒɔɪ/,vt.欣赏；享受乐趣；喜欢,
1255,enjoyable,,/ɪnˈdʒɔɪəb(ə)l/,a.愉快的；有趣的,
1256,enlarge,,/ɪnˈlɑːdʒ/,vt.扩大,
1257,enough,,/ɪˈnʌf/,n.足够；充足a.足够；充分的ad.足够地；充分地,
1258,enquiry,,/ɪnˈkwaɪərɪ/,n.询问,
1259,enter,,/ˈentə(r)/,vt.进入,
1260,enterprise,,/ˈentəpraɪz/,n.公司，企，事业单位,
1261,entertainment,,/entəˈteɪnmənt/,n.娱乐,
1262,enthusiastic,,/ɪnθjuːzɪˈæstɪk/,a.热情的，热心的,
1263,entire,,/ɪnˈtaɪə(r)/,a.整个的，全部的,
1264,entrance,,/ˈentrəns/,n.入口；入场；进入的权利;入学许可,
1265,entry,,/ˈentrɪ/,n.进入,
1266,envelope,,/ˈenvələʊp/,n.信封,
1267,environment,,/ɪnˈvaɪərənmənt/,n.环境,
1268,envy,,/ˈenvɪ/,vt.&n.忌妒；羡慕,
1269,equal,,/ˈiːkw(ə)l/,a.平等的vt.等于，使等于,
1270,equality,,/iːˈkwɔlətɪ/,n.平等,
1271,equip,,/ɪˈkwɪp/,vt.提供设备；装备；配备,
1272,equipment,,/ɪˈkwɪpmənt/,n.装备，设备,
1273,eraser,,/ɪˈreɪzə(r)/,n.橡皮擦；黑板擦,
1274,error,,/ˈerə(r)/,n.错误；差错,
1275,erupt,,/ɪˈrʌpt/,v.（火山）爆发，喷发,
1276,escape,,/ɪˈskeɪp/,n.&vi.逃跑；逃脱,
1277,especially,,/ɪˈspeʃəlɪ/,ad.特别，尤其,
1278,essay,,/ˈeseɪ/,n.散文；文章；随笔,
1279,Europe*,,/ˈjʊərəp/,n.欧洲,
1280,European,,/jʊərəˈpiːən/,a.欧洲的，欧洲人的n.欧洲人,
1281,evaluate,,/ɪˈvæljʊeɪt/,v.估值，评价，评估,
1282,even,,/ˈiːv(ə)n/,ad.甚至，连（…都）；更,
1283,evening,,/ˈiːvnɪŋ/,n.傍晚，晚上,
1284,event,,/ɪ'vent/,n.事件，大事,
1285,eventually,,/ɪˈventjʊəlɪ/,ad.最终地,
1286,ever,,/ˈevə(r)/,ad.曾经；无论何时,
1287,every,,/ˈevrɪ/,a.每一，每个的,
1288,everyday,,/ˈevrɪbɔdɪ/,a.每日的；日常的,
1289,everyone,,/ˈevrɪwʌn/,pron.每人，人人,
1290,everything,,/ˈevrɪθɪŋ/,pron.每件事，事事,
1291,everywhere,,/ˈevrɪweə(r)/,ad.到处,
1292,evidence,,/ˈevɪdəns/,n.证据，证明,
1293,evident,,/ˈevɪdənt/,a.清楚的，显而易见的,
1294,evolution,,/iːvəˈluːʃ(ə)n;(US)ev-/,n.进化，演变,
1295,exact,,/ɪɡˈzækt/,a.精确的；确切的,
1296,exactly,,/ex'act·ly/,ad.精确地；确切地,
1297,exam,(examination),/ɪɡzæmɪˈneɪʃ(ə)n/,n.考试，测试；检查；审查,
1298,examine,,/ɪɡˈzæmɪn/,vt.检查；诊察,
1299,example,,/ɪɡˈzɑːmp(ə)l;(US)ɪɡˈzæmpl/,n.例子；榜样,
1300,excellent,,/ˈeksələnt/,a.极好的，优秀的,
1301,except,,/ɪkˈsept/,prep.除……之外,
1302,exchange,,/ɪksˈtʃeɪndʒ/,n.交换，掉换；交流,
1303,excite,,/ɪkˈsaɪt/,vt.使兴奋，使激动,
1304,excuse,,/ɪkˈskjuːz/,n.借口.辩解vt.原谅.宽恕,
1305,exercise,,/ˈeksəsaɪz/,n.锻炼，做操；练习，习题vi.锻炼,
1306,exhibition,,/eksɪˈbɪʃ(ə)n/,n.展览；展览会,
1307,exist,,/ɪg'zɪst/,vi.存在,
1308,existence,,/ɪɡˈzɪst(ə)ns/,n.存在；生存；存在物,
1309,exit,,/ˈeksɪt/,n.出口，太平门,
1310,expand,,/ɪkˈspænd/,v.扩大，增加，扩展,
1311,expect,,/ɪkˈspekt/,vt.预料；盼望；认为,
1312,expectation,,/ekspekˈteɪʃ(ə)n/,n.预料；期望,
1313,expense,,/ɪkˈspens/,n.消费；支出,
1314,expensive,,/ɪkˈspensɪv/,a.昂贵的,
1315,experience,,/ɪkˈspɪərɪəns/,n.经验；经历,
1316,experiment,,/ɪkˈsperɪmənt/,n.实验,
1317,expert,,/ˈekspɜːt/,n.专家，能手,
1318,explain,,/ɪksˈpleɪn/,vt.解释，说明,
1319,explanation,,/ekspləˈneɪʃ(ə)n/,n.解释，说明,
1320,explicit,,/ɪkˈsplɪsɪt/,a.清楚明白，易于理解的,
1321,explode,,/ɪkˈspləʊd/,v.（使）爆炸,
1323,explore,,/ɪkˈsplɔː(r)/,v.探险,
1324,explorer,,/ɪkˈsplɔːrə(r)/,n.探险者,
1325,export,,/ɪkˈspɔːt/,n./v.出口，输出,
1326,expose,,/ɪkˈspəʊz;(US)ekspəˈzeɪ/,vt.揭露,
1327,express,,/ɪkˈspres/,vt.表达；表示；表情n.快车，特快专递,
1328,expression,,/ɪkˈspreʃ(ə)n/,n.表达；词句；表示，说法；表情,
1329,extension,,/ɪkˈstenʃ(ə)n/,n.扩大，延伸,
1330,extra,,/ˈekstrə/,a.额外的，外加的,
1331,extraordinary,,/ɪkˈstrɔːdɪnərɪ;(US)-dənerɪ/,a.离奇的；使人惊奇的,
1332,extreme,,/ɪkˈstriːm/,a.极其的，非常的,
1333,extremely,,/ɪkˈstriːmlɪ/,ad.极其，非常,
1334,eye,,/aɪ/,n.眼睛,
1335,eyesight,,/ˈaɪsaɪt/,n.视力；视觉,
1336,eyewitness,,/ˈaɪwɪtnɪs/,n.目击证人,
1337,f,,//,f(缩)＝female(或＝foot，feet)[ef]n.女(的)；雌(的)；英尺,
1338,face,,/feɪs/,n.脸vt.面向；面对,
1339,facial,,/ˈfeɪʃ(ə)l/,a.面部用的,
1340,fact,,/fækt/,n.事实，现实,
1342,fade,,/feɪd/,vi.褪色，（颜色）消退,
1343,fail,,/feɪl/,v.失败；不及格；衰退,
1344,failure,,/ˈfeɪljə(r)/,n.失败,
1345,fair,,/feə(r)/,a.公平的，合理的a.(肤色)白皙的；（人）白肤金发的n.集市；庙会；展览会,
1346,fairly,,/ˈfeəlɪ/,ad.公正地，正当地；相当（程度）地,
1347,fairness,,/'feənɪs/,n.公平；公正,
1348,faith,,/feɪθ/,n.信仰；信念,
1349,fall,,/fɔːl/,n.（美）秋季,
1350,fall,(fell，fallen),/fɔːl/,vi.落（下），降落；倒,
1351,FALSE,,/fɔːls/,a.不正确的；假的,
1352,familiar,,/fəˈmɪlɪə(r)/,a.熟悉的,
1353,family,,/ˈfæmɪlɪ/,n.家庭；家族；子女,
1355,famous,,/ˈfeɪməs/,a.著名的,
1356,fan,,/fæn/,n.（电影、运动等的）迷；热心的爱好者（支持者）n.风扇,
1357,fancy,,/ˈfænsɪ/,a.花式；装饰的；奇特的,
1358,fantasy,,/ˈfæntəsɪ/,n幻想，梦想,
1359,far,(farther，farthest或further，furthest),/fɑː(r)/,a.&ad.远的；远地,
1360,fare,,/feə(r)/,n.（车或船的）费用，票（价）,
1361,farm,,/fɑːm/,n.农场；农庄,
1362,farmer,,/ˈfɑːmə(r)/,n.农民,
1363,fast,,/fɑːst;(US)fæst/,a.快的，迅速的；紧密的ad.快地，迅速地；紧密地,
1364,fasten,,/ˈfɑːs(ə)n;(US)fæsn/,vt.扎牢；扣住,
1365,fat,,/fæt/,n.脂肪a.胖的；肥的,
1366,father,,/ˈfɑːðə(r)/,n.父亲,
1367,fault,,/fɔːlt/,n.缺点，毛病,
1368,favour,,/'feɪvə/,(美favor)n.恩惠；好意；帮助,
1369,favourite,(美favorite),/'feɪvərɪt/,a.喜爱的n.特别喜爱的人（或物）,
1370,fax,,/fæks/,n.传真,
1371,fear,,/fɪə(r)/,n.害怕；恐惧；担忧,
1372,feast,,/fiːst/,n.盛宴，宴会，（宗教的）节日,
1373,feather,,/ˈfeðə(r)/,n.羽毛,
1374,February,,/'febrʊəri/,n.2月,
1375,federa,,/ˈfedər(ə)l/,la.中央的（政府）联邦的,
1376,fee,,/fiː/,n.费，费用,
1377,feed,(fed，fed),/fiːd/,vt.喂（养）；饲（养）,
1378,feel,(felt，felt),/fiːl/,v.&link感觉，觉得；摸，触,
1379,feeling,,/ˈfiːlɪŋ/,n.感情；感觉,
1380,fellow,,/ˈfeləʊ/,n.同伴；伙伴,
1381,female,,/ˈfiːmeɪl/,a.女的；女性的；雌性的,
1382,fence,,/fens/,n.栅栏；围栏；篱笆,
1383,ferry,,/ˈferɪ/,n.渡船,
1384,festival,,/ˈfestɪvəl/,a.节日的，喜庆的,
1385,fetch,,/fetʃ/,vt.（去）取（物）来，（去）带（人）来,
1386,fever,,/ˈfiːvə(r)/,n.发烧；发热,
1387,few,,/fjuː/,pron.不多；少数不多的；少数的,
1388,fibre,,/'faɪbə/,(美fiber)n.纤维质,
1389,fiction,,/ˈfɪkʃ(ə)n/,n.小说，虚构的事,
1390,field,,/fiːld/,n.田地；牧场；场地,
1391,fierce,,/ˈfɪəs/,a.猛烈的,
1392,fifteen,,/fɪfˈtiːn/,num.十五,
1393,fifth,,/fɪfθ/,num.第五,
1394,fifty,,/ˈfɪftɪ/,num.五十,
1395,fight,,/faɪt/,n.打仗（架），争论,
1396,fight,(fought，fought),/faɪt/,n.打仗（架），与……打仗（架）,
1397,fighter,,/ˈfaɪtə(r)/,v.战士；斗士,
1398,figure,,/ˈfɪɡə(r);(US)ˈfɪgjər/,n.数字；数目；图；图形；（人的）身型；人物；（绘画、雕刻）人物像,
1399,file,,/faɪl/,n.公文柜；档案(计算机)文档,
1400,fill,,/fɪl/,vt.填空，装满,
1401,film,,/fɪlm/,n.电影；影片；胶卷vt.拍摄，把……拍成电影,
1402,final,,/ˈfaɪn(ə)l/,a.最后的；终极的,
1403,finance,,/ˈfaɪnæns/,n.资金，财政，财务,
1404,find,(found，found),/faɪnd/,vt.找到，发现，感到,
1405,fine,,/faɪn/,a.细的；晴朗的；美好的；（身体）健康的n.&v.罚款,
1406,finger,,/ˈfɪŋɡə(r)/,n.手指,
1407,fingernail,,/ˈfɪŋɡəneɪl/,n.指甲,
1408,finish,,/ˈfɪnɪʃ/,v.结束；做完,
