seq,pinyin,char
U+673B,jiū,朻
U+673C,bǐ,朼
U+673D,xiǔ,朽
U+673E,chéng;zhēng;chēng;tīng,朾
U+673F,cì,朿
U+6740,shā,杀
U+6741,rù,杁
U+6742,zá;duǒ,杂
U+6743,quán,权
U+6744,qiān,杄
U+6745,yú;wū,杅
U+6746,gān;gǎn;gàn,杆
U+6747,wū,杇
U+6748,chā;chà,杈
U+6749,shān;shā,杉
U+674A,xún,杊
U+674B,fán,杋
U+674C,wù;wò,杌
U+674D,zǐ,杍
U+674E,lǐ,李
U+674F,xìng,杏
U+6750,cái,材
U+6751,cūn,村
U+6752,rèn;ér,杒
U+6753,biāo;sháo;shuó;dí;zhuó,杓
U+6754,tuō;zhé,杔
U+6755,dì;duò,杕
U+6756,zhàng,杖
U+6757,máng,杗
U+6758,chì,杘
U+6759,yì,杙
U+675A,gài;gé,杚
U+675B,gōng,杛
U+675C,dù;dǔ;tú,杜
U+675D,lí;zhì;yí;tuò;duò,杝
U+675E,qǐ,杞
U+675F,shù,束
U+6760,gāng;gàng;gōng,杠
U+6761,tiáo,条
U+6762,jiang,杢
U+6763,mián,杣
U+6764,wàn,杤
U+6765,lái,来
U+6766,jiǔ,杦
U+6767,máng,杧
U+6768,yáng,杨
U+6769,mà,杩
U+676A,miǎo,杪
U+676B,sì;zhǐ;xǐ,杫
U+676C,yuán;yuàn,杬
U+676D,háng;kàng;kāng,杭
U+676E,fèi;bèi,杮
U+676F,bēi,杯
U+6770,jié,杰
U+6771,dōng,東
U+6772,gǎo,杲
U+6773,yǎo,杳
U+6774,xiān;qiān,杴
U+6775,chǔ,杵
U+6776,chūn,杶
U+6777,pá;bà,杷
U+6778,shū;duì,杸
U+6779,huà,杹
U+677A,xīn,杺
U+677B,chǒu;niǔ,杻
U+677C,zhù;shù,杼
U+677D,chǒu,杽
U+677E,sōng,松
U+677F,bǎn,板
U+6780,sōng,枀
U+6781,jí,极
U+6782,wò;yuè,枂
U+6783,jìn,枃
U+6784,gòu,构
U+6785,jī,枅
U+6786,máo,枆
U+6787,pí;bǐ;bì;pī,枇
U+6788,bì;pī,枈
U+6789,wǎng;kuáng,枉
U+678A,àng,枊
U+678B,fāng;fǎng;bǐng,枋
U+678C,fén,枌
U+678D,yì,枍
U+678E,fú;fū,枎
U+678F,nán,枏
U+6790,xī;sī,析
U+6791,hù,枑
U+6792,yā;yē;yá;yà,枒
U+6793,dǒu;zhǔ,枓
U+6794,xín,枔
U+6795,zhěn;chén,枕
U+6796,yāo;yǎo,枖
U+6797,lín,林
U+6798,ruì;nèn,枘
U+6799,ě;è,枙
U+679A,méi,枚
U+679B,zhào,枛
U+679C,guǒ;luǒ;guàn,果
U+679D,zhī;qí,枝
U+679E,cōng;zōng,枞
U+679F,yùn,枟
U+67A0,zui,枠
U+67A1,shēng,枡
U+67A2,shū,枢
U+67A3,zǎo,枣
U+67A4,dì,枤
U+67A5,lì,枥
U+67A6,lú,枦
U+67A7,jiǎn,枧
U+67A8,chéng,枨
U+67A9,sōng,枩
U+67AA,qiāng,枪
U+67AB,fēng,枫
U+67AC,zhān,枬
U+67AD,xiāo,枭
U+67AE,xiān;zhēn,枮
U+67AF,kū;gū,枯
U+67B0,píng,枰
U+67B1,tái;sì;cí,枱
U+67B2,xǐ,枲
U+67B3,zhǐ;zhī,枳
U+67B4,guǎi,枴
U+67B5,xiāo,枵
U+67B6,jià,架
U+67B7,jiā;jià,枷
U+67B8,gǒu;gōu;jǔ;qú,枸
U+67B9,bāo;fú,枹
U+67BA,mò,枺
U+67BB,yì;xiè,枻
U+67BC,yè,枼
U+67BD,yè,枽
U+67BE,shì,枾
U+67BF,niè,枿
U+67C0,bǐ,柀
U+67C1,duò;tuó;tuǒ,柁
U+67C2,yí;duò;lí,柂
U+67C3,líng,柃
U+67C4,bǐng,柄
U+67C5,nǐ;chì,柅
U+67C6,lā,柆
U+67C7,hé,柇
U+67C8,bàn;pán;pàn,柈
U+67C9,fán,柉
U+67CA,zhōng,柊
U+67CB,dài,柋
U+67CC,cí,柌
U+67CD,yǎng;yàng;yīng,柍
U+67CE,fū;fǔ;fù,柎
U+67CF,bǎi;bó;bò,柏
U+67D0,mǒu;méi,某
U+67D1,gān;qián,柑
U+67D2,qī,柒
U+67D3,rǎn,染
U+67D4,róu,柔
U+67D5,mào,柕
U+67D6,sháo;shào,柖
U+67D7,sōng,柗
U+67D8,zhè,柘
U+67D9,xiá;jiǎ,柙
U+67DA,yòu;yóu;zhóu,柚
U+67DB,shēn,柛
U+67DC,guì;jǔ,柜
U+67DD,tuò,柝
U+67DE,zhà;zuò;zé,柞
U+67DF,nán;rán,柟
U+67E0,níng;chǔ;zhù,柠
U+67E1,yǒng,柡
U+67E2,dǐ;dì;chí,柢
U+67E3,zhì;dié,柣
U+67E4,zhā;zǔ;zū,柤
U+67E5,chá;zhā;chái,查
U+67E6,dàn,柦
U+67E7,gū,柧
U+67E8,bù;pū,柨
U+67E9,jiù,柩
U+67EA,āo;ào,柪
U+67EB,fú,柫
U+67EC,jiǎn,柬
U+67ED,bā;fú;bó;biē;pèi,柭
U+67EE,duò;zuó;wù,柮
U+67EF,kē,柯
U+67F0,nài,柰
U+67F1,zhù;zhǔ,柱
U+67F2,bì;bié,柲
U+67F3,liǔ,柳
U+67F4,chái;cī;zhài;zì,柴
U+67F5,shān;zhà,柵
U+67F6,sì,柶
U+67F7,chù;zhù,柷
U+67F8,pēi;bēi,柸
U+67F9,shì;fèi,柹
U+67FA,guǎi,柺
U+67FB,zhā,査
U+67FC,yǎo,柼
U+67FD,chēng;jué,柽
U+67FE,jiù,柾
U+67FF,shì,柿
U+6800,zhī,栀
U+6801,liǔ,栁
U+6802,méi,栂
U+6803,lì,栃
U+6804,róng,栄
U+6805,zhà;shān;cè,栅
U+6806,zǎo,栆
U+6807,biāo,标
U+6808,zhàn,栈
U+6809,zhì,栉
U+680A,lóng,栊
U+680B,dòng,栋
U+680C,lú,栌
U+680D,shēng,栍
U+680E,lì;yuè,栎
U+680F,lán,栏
U+6810,yǒng,栐
U+6811,shù,树
U+6812,xún;sǔn,栒
U+6813,shuān;shuàn;quán,栓
U+6814,qì,栔
U+6815,zhēn,栕
U+6816,qī;xī,栖
U+6817,lì;liè,栗
U+6818,yí,栘
U+6819,xiáng,栙
U+681A,zhèn,栚
U+681B,lì,栛
U+681C,sè;cì,栜
U+681D,guā;tiǎn;kuò,栝
U+681E,kān,栞
U+681F,bēn;bīng,栟
U+6820,rěn,栠
U+6821,xiào;jiào;jiǎo;qiāo,校
U+6822,bǎi,栢
U+6823,rěn,栣
U+6824,bìng,栤
U+6825,zī,栥
U+6826,chóu,栦
U+6827,yì,栧
U+6828,cì,栨
U+6829,xǔ;yǔ,栩
U+682A,zhū,株
U+682B,jiàn;zùn,栫
U+682C,zuì,栬
U+682D,ér,栭
U+682E,ěr,栮
U+682F,yǒu;yù,栯
U+6830,fá,栰
U+6831,gǒng,栱
U+6832,kǎo,栲
U+6833,lǎo,栳
U+6834,zhān,栴
U+6835,liè,栵
U+6836,yīn,栶
U+6837,yàng;yáng,样
U+6838,hé;hú;gāi;kài,核
U+6839,gēn,根
U+683A,yì;zhī;zhǐ,栺
U+683B,shì,栻
U+683C,gé;luò;hè;gē,格
U+683D,zāi;zài,栽
U+683E,luán,栾
U+683F,fú,栿
U+6840,jié,桀
U+6841,héng;háng;hàng,桁
U+6842,guì,桂
U+6843,táo;tiāo;zhào,桃
U+6844,guāng;guàng,桄
U+6845,wéi;guǐ,桅
U+6846,kuāng;kuàng;kuáng,框
U+6847,rú,桇
U+6848,àn,案
U+6849,ān;àn,桉
U+684A,juàn;quān,桊
U+684B,yí;tí,桋
U+684C,zhuō,桌
U+684D,kū,桍
U+684E,zhì,桎
U+684F,qióng,桏
U+6850,tóng;tōng;dòng,桐
U+6851,sāng,桑
U+6852,sāng,桒
U+6853,huán,桓
U+6854,jú;jié;xié,桔
U+6855,jiù,桕
U+6856,xuè,桖
U+6857,duò,桗
U+6858,zhuì,桘
U+6859,yú;móu,桙
U+685A,zǎn,桚
U+685C,yīng,桜
U+685D,jié,桝
U+685E,liǔ,桞
U+685F,zhàn,桟
U+6860,yā,桠
U+6861,ráo,桡
U+6862,zhēn,桢
U+6863,dàng,档
U+6864,qī,桤
U+6865,qiáo,桥
U+6866,huà,桦
U+6867,guì;huì,桧
U+6868,jiǎng,桨
U+6869,zhuāng,桩
U+686A,xún,桪
U+686B,suō,桫
U+686C,shā,桬
U+686D,zhēn;chén;zhèn,桭
U+686E,bēi,桮
U+686F,tīng;yíng,桯
U+6870,kuò,桰
U+6871,jìng,桱
U+6872,po;bó,桲
U+6873,bèn,桳
U+6874,fú,桴
U+6875,ruí,桵
U+6876,tǒng,桶
U+6877,jué,桷
U+6878,xī,桸
U+6879,láng,桹
U+687A,liǔ,桺
U+687B,fēng;fèng,桻
U+687C,qī,桼
U+687D,wěn,桽
U+687E,jūn,桾
U+687F,gǎn;hàn,桿
U+6880,sù;yìn,梀
U+6881,liáng,梁
U+6882,qiú,梂
U+6883,tǐng;tìng,梃
U+6884,yǒu,梄
U+6885,méi,梅
U+6886,bāng,梆
U+6887,lòng,梇
U+6888,pēng,梈
U+6889,zhuāng,梉
U+688A,dì,梊
U+688B,xuān;juān;xié,梋
U+688C,tú;chá;tū,梌
U+688D,zào,梍
U+688E,āo;yòu,梎
U+688F,gù;jué,梏
U+6890,bì,梐
U+6891,dí,梑
U+6892,hán,梒
U+6893,zǐ,梓
U+6894,zhī,梔
U+6895,rèn,梕
U+6896,bèi,梖
U+6897,gěng,梗
U+6898,jiǎn;xiàn;jiàn,梘
U+6899,huàn,梙
U+689A,wǎn,梚
U+689B,nuó,梛
U+689C,jiā,梜
U+689D,tiáo;tiāo,條
U+689E,jì,梞
U+689F,xiāo,梟
U+68A0,lǚ,梠
U+68A1,hún;kuǎn,梡
U+68A2,shāo;shào;xiāo;sào,梢
U+68A3,cén;chén;qín,梣
U+68A4,fén,梤
U+68A5,sōng,梥
U+68A6,mèng,梦
U+68A7,wú;wù;yǔ,梧
U+68A8,lí,梨
U+68A9,lí;sì;qǐ,梩
U+68AA,dòu,梪
U+68AB,qǐn;qīn,梫
U+68AC,yǐng,梬
U+68AD,suō;xùn,梭
U+68AE,jū,梮
U+68AF,tī;tí,梯
U+68B0,xiè,械
U+68B1,kǔn;hún,梱
U+68B2,zhuó,梲
U+68B3,shū,梳
U+68B4,chān,梴
U+68B5,fàn,梵
U+68B6,wěi,梶
U+68B7,jìng,梷
U+68B8,lí,梸
U+68B9,bīn;bīng,梹
U+68BA,xià,梺
U+68BB,fó,梻
U+68BC,táo,梼
U+68BD,zhì,梽
U+68BE,lái,梾
U+68BF,lián,梿
U+68C0,jiǎn,检
U+68C1,zhuō;tuō;ruì,棁
U+68C2,líng,棂
U+68C3,lí,棃
U+68C4,qì,棄
U+68C5,bǐng,棅
U+68C6,lún,棆
U+68C7,cōng;sōng,棇
U+68C8,qiàn,棈
U+68C9,mián,棉
U+68CA,qí,棊
U+68CB,qí;jī,棋
U+68CC,cài,棌
U+68CD,gùn;hùn;āo;gǔn,棍
U+68CE,chán,棎
U+68CF,dé;zhé,棏
U+68D0,fěi;féi,棐
U+68D1,pái;bèi;pèi,棑
U+68D2,bàng,棒
U+68D3,bàng;bèi;pǒu;péi;bēi,棓
U+68D4,hūn,棔
U+68D5,zōng,棕
U+68D6,chéng;cháng,棖
U+68D7,zǎo,棗
U+68D8,jí,棘
U+68D9,lì;liè,棙
U+68DA,péng,棚
U+68DB,yù,棛
U+68DC,yù,棜
U+68DD,gù,棝
U+68DE,jùn,棞
U+68DF,dòng,棟
U+68E0,táng,棠
U+68E1,gāng,棡
U+68E2,wǎng,棢
U+68E3,dì;tì;dài,棣
U+68E4,cuò,棤
U+68E5,fán,棥
U+68E6,chēng,棦
U+68E7,zhàn;zhǎn;chén,棧
U+68E8,qǐ,棨
U+68E9,yuān,棩
U+68EA,yǎn;yàn,棪
U+68EB,yù,棫
U+68EC,quān;juàn;quán,棬
U+68ED,yì,棭
U+68EE,sēn,森
U+68EF,rěn;shěn,棯
U+68F0,chuí;duǒ,棰
U+68F1,léng;lēng;líng;lèng;chēng,棱
U+68F2,qī;xī,棲
U+68F3,zhuō,棳
U+68F4,fú;sù,棴
U+68F5,kē;kuǎn;kě,棵
U+68F6,lái,棶
U+68F7,zōu;sǒu,棷
U+68F8,zōu,棸
U+68F9,zhào;zhuō,棹
U+68FA,guān;guàn,棺
U+68FB,fēn,棻
U+68FC,fén;fèn;fēn,棼
U+68FD,shēn;chēn,棽
U+68FE,qíng,棾
U+68FF,ní;niè,棿
U+6900,wǎn,椀
U+6901,guǒ,椁
U+6902,lù,椂
U+6903,háo,椃
U+6904,jiē;jié;qiè,椄
U+6905,yǐ;yī,椅
U+6906,chóu;zhòu;diāo,椆
U+6907,jǔ,椇
U+6908,jú,椈
U+6909,chéng;shèng,椉
U+690A,zuó;cuì,椊
U+690B,liáng,椋
U+690C,qiāng;kōng,椌
U+690D,zhí,植
U+690E,chuí;zhuī,椎
U+690F,yā;ě,椏
U+6910,jū,椐
U+6911,bēi;pí;bì;pái,椑
U+6912,jiāo,椒
U+6913,zhuó,椓
U+6914,zī,椔
U+6915,bīn,椕
U+6916,péng,椖
U+6917,dìng,椗
U+6918,chǔ,椘
U+6919,chāng,椙
U+691A,mēn,椚
U+691B,huā,椛
U+691C,jiǎn,検
U+691D,guī,椝
U+691E,xì,椞
U+691F,dú,椟
U+6920,qiàn,椠
U+6921,dào,椡
U+6922,guì,椢
U+6923,diǎn,椣
U+6924,luó,椤
U+6925,zhī,椥
U+6926,quan,椦
U+6927,mìng,椧
U+6928,fǔ,椨
U+6929,gēng,椩
U+692A,pèng,椪
U+692B,shàn,椫
U+692C,yí,椬
U+692D,tuǒ,椭
U+692E,sēn,椮
U+692F,duǒ;chuán,椯
U+6930,yē,椰
U+6931,fù,椱
U+6932,wěi;huī,椲
U+6933,wēi,椳
U+6934,duàn,椴
U+6935,jiǎ;jiā,椵
U+6936,zōng,椶
U+6937,jiān;hán,椷
U+6938,yí,椸
U+6939,shèn;zhēn,椹
U+693A,xí,椺
U+693B,yàn;yà,椻
U+693C,yǎn,椼
U+693D,chuán,椽
U+693E,jiān;zhàn,椾
U+693F,chūn,椿
U+6940,yǔ,楀
U+6941,hé,楁
U+6942,zhā;chá,楂
U+6943,wò,楃
U+6944,pián,楄
U+6945,bī,楅
U+6946,yāo,楆
U+6947,huò;guō;kuǎ,楇
U+6948,xū,楈
U+6949,ruò,楉
U+694A,yáng,楊
U+694B,là,楋
U+694C,yán,楌
U+694D,běn,楍
U+694E,huī,楎
U+694F,kuí,楏
U+6950,jiè,楐
U+6951,kuí,楑
U+6952,sī,楒
U+6953,fēng;fán,楓
U+6954,xiē;xiè,楔
U+6955,tuǒ,楕
U+6956,zhì;jí,楖
U+6957,jiàn;jiǎn,楗
U+6958,mù,楘
U+6959,mào,楙
U+695A,chǔ,楚
U+695B,hù;kǔ,楛
U+695C,hú,楜
U+695D,liàn,楝
U+695E,léng;lèng,楞
U+695F,tíng,楟
U+6960,nán,楠
U+6961,yú,楡
U+6962,yóu;yǒu,楢
U+6963,méi;měi,楣
U+6964,sǒng;cōng,楤
U+6965,xuàn;yuán,楥
U+6966,xuàn,楦
U+6967,yǎng,楧
U+6968,zhēn,楨
U+6969,pián,楩
U+696A,yè;dié,楪
U+696B,jí,楫
U+696C,jié;qià,楬
U+696D,yè,業
U+696E,chǔ;zhū,楮
U+696F,dùn;shǔn;chūn,楯
U+6970,yú,楰
U+6971,zòu;cōu,楱
U+6972,wēi,楲
U+6973,méi,楳
U+6974,tì;dǐ;shì,楴
U+6975,jí;jǐ,極
U+6976,jié,楶
U+6977,kǎi;jiē;jiè,楷
U+6978,qiū,楸
U+6979,yíng,楹
U+697A,rǒu;ròu,楺
U+697B,huáng,楻
U+697C,lóu,楼
U+697D,lè,楽
U+697E,quán,楾
U+697F,xiāng,楿
U+6980,pǐn,榀
U+6981,shǐ,榁
U+6982,gài;guì;jié,概
U+6983,tán,榃
U+6984,lǎn,榄
U+6985,wēn;yùn,榅
U+6986,yú,榆
U+6987,chèn,榇
U+6988,lǘ,榈
U+6989,jǔ,榉
U+698A,shén,榊
U+698B,chu,榋
U+698C,bī,榌
U+698D,xiè,榍
U+698E,jiǎ,榎
U+698F,yì,榏
U+6990,zhǎn;chǎn;niàn;zhèn,榐
U+6991,fú;fù;bó,榑
U+6992,nuò,榒
U+6993,mì,榓
U+6994,láng;lǎng,榔
U+6995,róng,榕
U+6996,gǔ,榖
U+6997,jiàn;jìn,榗
U+6998,jǔ,榘
U+6999,tā,榙
U+699A,yǎo,榚
U+699B,zhēn,榛
U+699C,bǎng;bēng;bàng;páng;péng,榜
U+699D,shā;xiè,榝
U+699E,yuán,榞
U+699F,zǐ,榟
U+69A0,míng,榠
U+69A1,sù,榡
U+69A2,jià,榢
U+69A3,yáo,榣
U+69A4,jié,榤
U+69A5,huàng,榥
U+69A6,gàn;hán,榦
U+69A7,fěi,榧
U+69A8,zhà,榨
U+69A9,qián,榩
U+69AA,mà;mǎ,榪
U+69AB,sǔn,榫
U+69AC,yuán,榬
U+69AD,xiè,榭
U+69AE,róng,榮
U+69AF,shí,榯
U+69B0,zhī,榰
U+69B1,cuī,榱
U+69B2,wēn,榲
U+69B3,tíng,榳
U+69B4,liú,榴
U+69B5,róng,榵
U+69B6,táng,榶
U+69B7,què,榷
U+69B8,zhāi,榸
U+69B9,sī,榹
U+69BA,shèng,榺
U+69BB,tà,榻
U+69BC,kē,榼
U+69BD,xī,榽
U+69BE,gǔ,榾
U+69BF,qī,榿
U+69C0,gǎo;kào,槀
U+69C1,gǎo;kào;gāo,槁
U+69C2,sūn,槂
U+69C3,pán,槃
U+69C4,tāo,槄
U+69C5,gé,槅
U+69C6,chūn,槆
U+69C7,diān;zhěn;zhēn,槇
U+69C8,nòu,槈
U+69C9,jí,槉
U+69CA,shuò,槊
U+69CB,gòu;jué,構
U+69CC,chuí;zhuì;duī,槌
U+69CD,qiāng;chēng;qiǎng,槍
U+69CE,chá,槎
U+69CF,qiǎn;xiàn;lián,槏
U+69D0,huái,槐
U+69D1,méi,槑
U+69D2,xù,槒
U+69D3,gàng,槓
U+69D4,gāo,槔
U+69D5,zhuō,槕
U+69D6,tuó,槖
U+69D7,qiáo,槗
U+69D8,yàng,様
U+69D9,diān,槙
U+69DA,jiǎ,槚
U+69DB,kǎn;jiàn,槛
U+69DC,zuì,槜
U+69DD,dǎo,槝
U+69DE,lóng,槞
U+69DF,bīn;bīng,槟
U+69E0,zhū,槠
U+69E1,sāng,槡
U+69E2,xí;dié,槢
U+69E3,jī;guī,槣
U+69E4,lián;liǎn,槤
U+69E5,huì,槥
U+69E6,yōng,槦
U+69E7,qiàn,槧
U+69E8,guǒ,槨
U+69E9,gài,槩
U+69EA,gài,槪
U+69EB,tuán;shuàn;quán,槫
U+69EC,huà,槬
U+69ED,qī;qì;zú;sè,槭
U+69EE,sēn;shěn,槮
U+69EF,cuī;zuǐ,槯
U+69F0,péng,槰
U+69F1,yǒu;chǎo,槱
U+69F2,hú,槲
U+69F3,jiǎng;jiāng,槳
U+69F4,hù,槴
U+69F5,huàn,槵
U+69F6,guì,槶
U+69F7,niè;xiè;yì,槷
U+69F8,yì,槸
U+69F9,gāo,槹
U+69FA,kāng,槺
U+69FB,guī,槻
U+69FC,guī,槼
U+69FD,cáo;zāo,槽
U+69FE,màn;wàn;mán,槾
U+69FF,jǐn;qín,槿
U+6A00,dí;zhí;zhé;dī,樀
U+6A01,zhuāng;chōng,樁
U+6A02,lè;yuè;yào;luò;liáo,樂
U+6A03,lǎng,樃
U+6A04,chén,樄
U+6A05,cōng;zōng,樅
U+6A06,lí;chī,樆
U+6A07,xiū,樇
U+6A08,qíng,樈
U+6A09,shuǎng,樉
U+6A0A,fán;fàn,樊
U+6A0B,tōng,樋
U+6A0C,guàn,樌
U+6A0D,zé,樍
U+6A0E,sù,樎
U+6A0F,lěi;léi,樏
U+6A10,lǔ,樐
U+6A11,liáng,樑
U+6A12,mì,樒
U+6A13,lóu;lǘ,樓
U+6A14,cháo;chāo;jiǎo,樔
U+6A15,sù,樕
U+6A16,kē,樖
U+6A17,chū,樗
U+6A18,táng;chēng,樘
U+6A19,biāo;biào,標
U+6A1A,lù;dú,樚
U+6A1B,jiū;liáo,樛
U+6A1C,zhè,樜
U+6A1D,zhā,樝
U+6A1E,shū;ōu,樞
U+6A1F,zhāng,樟
U+6A20,mán;lǎng,樠
U+6A21,mó;mú,模
U+6A22,niǎo;mù,樢
U+6A23,yàng;xiàng,樣
U+6A24,tiáo,樤
U+6A25,péng,樥
U+6A26,zhù,樦
U+6A27,shā,樧
U+6A28,xī,樨
U+6A29,quán,権
U+6A2A,héng;hèng;guāng;guàng;huáng;huàng,横
U+6A2B,jiān,樫
U+6A2C,cōng,樬
U+6A2D,jī,樭
U+6A2E,yān,樮
U+6A2F,qiáng,樯
U+6A30,xuě,樰
U+6A31,yīng,樱
U+6A32,èr;zhì,樲
U+6A33,xún,樳
U+6A34,zhí;yì,樴
U+6A35,qiáo,樵
U+6A36,zuī,樶
U+6A37,cóng,樷
U+6A38,pǔ;pú,樸
U+6A39,shù,樹
U+6A3A,huà,樺
U+6A3B,kuì,樻
U+6A3C,zhēn,樼
U+6A3D,zūn,樽
U+6A3E,yuè,樾
U+6A3F,shàn,樿
U+6A40,xī,橀
U+6A41,chūn,橁
U+6A42,diàn,橂
U+6A43,fá;fèi,橃
U+6A44,gǎn,橄
U+6A45,mó,橅
U+6A46,wǔ;wú,橆
U+6A47,qiāo,橇
U+6A48,ráo;náo,橈
U+6A49,lìn,橉
U+6A4A,liú,橊
U+6A4B,qiáo;jiāo;jiào;qiāo;jiǎo,橋
U+6A4C,xiàn,橌
U+6A4D,rùn,橍
U+6A4E,fán,橎
U+6A4F,zhǎn;jiǎn,橏
U+6A50,tuó;dù;luò,橐
U+6A51,lǎo;liáo,橑
U+6A52,yún,橒
U+6A53,shùn,橓
U+6A54,dūn;tuí,橔
U+6A55,chēng,橕
U+6A56,táng;chēng,橖
U+6A57,méng,橗
U+6A58,jú,橘
U+6A59,chéng;dèng;chén,橙
U+6A5A,sù;xiāo;qiū,橚
U+6A5B,jué,橛
U+6A5C,jué,橜
U+6A5D,diàn;tán;xín,橝
U+6A5E,huì,橞
U+6A5F,jī,機
U+6A60,nuǒ;nuó,橠
U+6A61,xiàng,橡
U+6A62,tuǒ;duǒ,橢
U+6A63,nǐng,橣
U+6A64,ruǐ,橤
U+6A65,zhū,橥
U+6A66,tóng;chuáng;zhōng;chōng,橦
U+6A67,zēng;céng,橧
U+6A68,fén;fèn;fèi,橨
U+6A69,qióng,橩
U+6A6A,rǎn;yān,橪
U+6A6B,héng,橫
U+6A6C,qián;qín,橬
U+6A6D,gū,橭
U+6A6E,liǔ,橮
U+6A6F,lào,橯
U+6A70,gāo,橰
U+6A71,chú,橱
U+6A72,xǐ,橲
U+6A73,shèng,橳
U+6A74,zǐ,橴
U+6A75,san,橵
U+6A76,jí,橶
U+6A77,dōu,橷
U+6A78,jīng,橸
U+6A79,lǔ,橹
U+6A7A,jian,橺
U+6A7B,chu,橻
U+6A7C,yuán,橼
U+6A7D,tà,橽
U+6A7E,shū;qiāo;sāo,橾
U+6A7F,jiāng,橿
U+6A80,tán;shàn,檀
U+6A81,lǐn,檁
U+6A82,nóng,檂
U+6A83,yǐn,檃
U+6A84,xí,檄
U+6A85,huì,檅
U+6A86,shān,檆
U+6A87,zuì,檇
U+6A88,xuán,檈
U+6A89,chēng,檉
U+6A8A,gàn,檊
U+6A8B,jú,檋
U+6A8C,zuì,檌
U+6A8D,yì,檍
U+6A8E,qín,檎
U+6A8F,pǔ,檏
U+6A90,yán;dān,檐
U+6A91,léi;lèi,檑
U+6A92,fēng,檒
U+6A93,huǐ,檓
U+6A94,dàng;dāng,檔
U+6A95,jì,檕
U+6A96,suì,檖
U+6A97,bò;bì,檗
U+6A98,píng;bò,檘
U+6A99,chéng,檙
U+6A9A,chǔ,檚
U+6A9B,zhuā,檛
U+6A9C,guì;kuài;huì,檜
U+6A9D,jí,檝
U+6A9E,jiě;xiè,檞
U+6A9F,jiǎ,檟
U+6AA0,qíng;jìng,檠
U+6AA1,zhái;shì;tú,檡
U+6AA2,jiǎn,檢
U+6AA3,qiáng,檣
U+6AA4,dào,檤
U+6AA5,yǐ,檥
U+6AA6,biǎo,檦
U+6AA7,sōng,檧
U+6AA8,shē,檨
U+6AA9,lǐn,檩
U+6AAA,lì,檪
U+6AAB,chá;sà,檫
U+6AAC,méng,檬
U+6AAD,yín,檭
U+6AAE,táo;chóu;dào,檮
U+6AAF,tái,檯
U+6AB0,mián,檰
U+6AB1,qí,檱
U+6AB2,tuán,檲
U+6AB3,bīn;bīng,檳
U+6AB4,huò;huà,檴
U+6AB5,jì,檵
U+6AB6,qiān,檶
U+6AB7,nǐ;mí,檷
U+6AB8,níng,檸
U+6AB9,yī,檹
U+6ABA,gǎo,檺
U+6ABB,kǎn;jiàn,檻
U+6ABC,yìn,檼
U+6ABD,nòu;ruǎn;rú,檽
U+6ABE,qǐng,檾
U+6ABF,yǎn,檿
U+6AC0,qí,櫀
U+6AC1,mì,櫁
U+6AC2,zhào;dí,櫂
U+6AC3,guì,櫃
U+6AC4,chūn,櫄
U+6AC5,jī;jì,櫅
U+6AC6,kuí,櫆
U+6AC7,pó,櫇
U+6AC8,dèng,櫈
U+6AC9,chú,櫉
U+6ACA,gé,櫊
U+6ACB,mián,櫋
U+6ACC,yōu,櫌
U+6ACD,zhì,櫍
U+6ACE,huǎng;guàng;guǒ;gǔ,櫎
U+6ACF,qiān,櫏
U+6AD0,lěi,櫐
U+6AD1,léi;lěi,櫑
U+6AD2,sà,櫒
U+6AD3,lǔ,櫓
U+6AD4,lì,櫔
U+6AD5,cuán,櫕
U+6AD6,lǜ;chū,櫖
U+6AD7,miè;mèi,櫗
U+6AD8,huì,櫘
U+6AD9,ōu,櫙
U+6ADA,lǘ,櫚
U+6ADB,zhì,櫛
U+6ADC,gāo,櫜
U+6ADD,dú,櫝
U+6ADE,yuán,櫞
U+6ADF,lì;luò;yuè,櫟
U+6AE0,fèi,櫠
U+6AE1,zhuó;zhù,櫡
U+6AE2,sǒu,櫢
U+6AE3,lián,櫣
U+6AE4,jiàng,櫤
U+6AE5,chú,櫥
U+6AE6,qìng,櫦
U+6AE7,zhū,櫧
U+6AE8,lú;lǘ,櫨
U+6AE9,yán;yǎn,櫩
U+6AEA,lì,櫪
U+6AEB,zhū,櫫
U+6AEC,chèn;qìn;guàn,櫬
U+6AED,jié;jì,櫭
U+6AEE,è,櫮
U+6AEF,sū,櫯
U+6AF0,huái;guī,櫰
U+6AF1,niè,櫱
U+6AF2,yù,櫲
U+6AF3,lóng,櫳
U+6AF4,lài,櫴
U+6AF5,jiao,櫵
U+6AF6,xiǎn,櫶
U+6AF7,guī,櫷
U+6AF8,jǔ,櫸
U+6AF9,xiāo;qiū;xiū,櫹
U+6AFA,líng,櫺
U+6AFB,yīng,櫻
U+6AFC,jiān;shān,櫼
U+6AFD,yǐn,櫽
U+6AFE,yóu;yòu,櫾
U+6AFF,yíng,櫿
U+6B00,xiāng;ràng,欀
U+6B01,nóng,欁
U+6B02,bó,欂
U+6B03,chán;zhàn,欃
U+6B04,lán;liàn,欄
U+6B05,jǔ,欅
U+6B06,shuāng,欆
U+6B07,shè,欇
U+6B08,wéi;zuì,欈
U+6B09,cóng,欉
U+6B0A,quán;guàn,權
U+6B0B,qú,欋
U+6B0C,cáng,欌
U+6B0D,jiù,欍
U+6B0E,yù,欎
