#,	汉字,	Unicode,	普通话读音
7232,	焌,	U+710C	,jùn，qū
7233,	淏,	U+6DCF	,hào
7234,	𬇹,	U+2C1F9,	guó
7235,	淟,	U+6DDF	,tiǎn
7236,	淜,	U+6DDC	,péng
7237,	淴,	U+6DF4	,hū
7238,	淯,	U+6DEF	,yù
7239,	湴,	U+6E74	,bàn
7240,	涴,	U+6DB4	,yuān
7241,	𬍡,	U+2C361,	dàng
7242,	㥄,	U+3944	,líng
7243,	惛,	U+60DB	,hūn
7244,	惔,	U+60D4	,tán
7245,	悰,	U+60B0	,cóng
7246,	惙,	U+60D9	,chuò
7247,	寁,	U+5BC1	,zǎn
7248,	逭,	U+902D	,huàn
7249,	𬤇,	U+2C907,	yīn
7250,	𫍯,	U+2B36F,	xián
7251,	袼,	U+88BC	,gē
7252,	裈,	U+88C8	,kūn
7253,	祲,	U+7972	,jìn
7254,	𬤊,	U+2C90A,	shì
7255,	𫍲,	U+2B372,	xiǎo
7256,	谞,	U+8C1E	,xū
7257,	艴,	U+8274	,bó
7258,	弸,	U+5F38	,péng
7259,	弶,	U+5F36	,jiàng
7260,	𬯎,	U+2CBCE,	tuí
7261,	隃,	U+9683	,shù
7262,	婞,	U+5A5E	,xìng
7263,	娵,	U+5A35	,jū
7264,	婼,	U+5A7C	,ruò
7265,	媖,	U+5A96	,yīng
7266,	婳,	U+5A73	,huà
7267,	婍,	U+5A4D	,qǐ
7268,	婌,	U+5A4C	,shú
7269,	婫,	U+5A6B	,kūn
7270,	婤,	U+5A64	,zhōu
7271,	婘,	U+5A58	,quán
7272,	婠,	U+5A60	,wān
7273,	𬘬,	U+2C62C,	qiàn
7274,	𬘭,	U+2C62D,	chēn
7275,	𬴂,	U+2CD02,	fēi
7276,	𫘦,	U+2B626,	táo
7277,	绹,	U+7EF9	,táo
7278,	𫟅,	U+2B7C5,	liáng
7279,	𬘯,	U+2C62F,	zhǔn
7280,	骕,	U+9A95	,sù
7281,	𫘧,	U+2B627,	lù
7282,	絜,	U+7D5C	,jié，xié
7283,	珷,	U+73F7	,wǔ
7284,	琲,	U+7432	,bèi
7285,	琡,	U+7421	,chù
7286,	琟,	U+741F	,wéi
7287,	琔,	U+7414	,diàn
7288,	琭,	U+742D	,lù
7289,	堾,	U+583E	,chūn
7290,	堼,	U+583C	,hèng
7291,	揕,	U+63D5	,zhèn
7292,	㙘,	U+3658	,yāo
7293,	堧,	U+5827	,ruán
7294,	喆,	U+5586	,zhé
7295,	堨,	U+5828	,è
7296,	塅,	U+5845	,duàn
7297,	堠,	U+5820	,hòu
7298,	絷,	U+7D77	,zhí
7299,	𪣻,	U+2A8FB,	lóu
7300,	𡎚,	U+2139A,	piǎn
7301,	葜,	U+845C	,qiā
7302,	惎,	U+60CE	,jì
7303,	萳,	U+8433	,nán
7304,	葙,	U+8459	,xiāng
7305,	靬,	U+976C	,qián
7306,	葴,	U+8474	,zhēn
7307,	蒇,	U+8487	,chǎn
7308,	蒈,	U+8488	,kǎi
7309,	鄚,	U+911A	,mào
7310,	蒉,	U+8489	,kuì
7311,	蓇,	U+84C7	,gū
7312,	萩,	U+8429	,qiū
7313,	蒐,	U+8490	,sōu
7314,	葰,	U+8470	,jùn，suǒ
7315,	葎,	U+844E	,lǜ
7316,	鄑,	U+9111	,zī
7317,	蒎,	U+848E	,pài
7318,	葖,	U+8456	,tū
7319,	蒄,	U+8484	,guān
7320,	萹,	U+8439	,biān
7321,	棤,	U+68E4	,cuò
7322,	棽,	U+68FD	,chēn，shēn
7323,	棫,	U+68EB	,yù
7324,	椓,	U+6913	,zhuó
7325,	椑,	U+6911	,bēi
7326,	𬃊,	U+2C0CA,	zhì
7327,	鹀,	U+9E40	,wú
7328,	椆,	U+6906	,chóu
7329,	棓,	U+68D3	,bèi
7330,	棬,	U+68EC	,quān
7331,	棪,	U+68EA	,yǎn
7332,	椀,	U+6900	,wǎn
7333,	楗,	U+6957	,jiàn
7334,	𬷕,	U+2CDD5,	bǔ
7335,	甦,	U+7526	,sū
7336,	酦,	U+9166	,pō
7337,	觌,	U+89CC	,dí
7338,	奡,	U+5961	,ào
7339,	皕,	U+7695	,bì
7340,	硪,	U+786A	,wò
7341,	欹,	U+6B39	,qī
7342,	詟,	U+8A5F	,zhé
7343,	𫐐,	U+2B410,	ní
7344,	辌,	U+8F8C	,liáng
7345,	棐,	U+68D0	,fěi
7346,	龂,	U+9F82	,yín
7347,	𬹼,	U+2CE7C,	xiè
7348,	黹,	U+9EF9	,zhǐ
7349,	牚,	U+725A	,chèng
7350,	睎,	U+774E	,xī
7351,	晫,	U+666B	,zhuó
7352,	晪,	U+666A	,tiǎn
7353,	晱,	U+6671	,shǎn
7354,	𧿹,	U+27FF9,	mǔ
7355,	蛑,	U+86D1	,móu
7356,	畯,	U+756F	,jùn
7357,	斝,	U+659D	,jiǎ
7358,	喤,	U+55A4	,huáng
7359,	崶,	U+5D36	,fēng
7360,	嵁,	U+5D41	,kān
7361,	𫶇,	U+2BD87,	dié
7362,	崾,	U+5D3E	,yào
7363,	嵅,	U+5D45	,hán
7364,	崿,	U+5D3F	,è
7365,	嵚,	U+5D5A	,qīn
7366,	翙,	U+7FD9	,huì
7367,	𫖮,	U+2B5AE,	yǐ
7368,	圌,	U+570C	,chuí
7369,	圐,	U+5710	,kū
7370,	赑,	U+8D51	,bì
7371,	淼,	U+6DFC	,miǎo
7372,	赒,	U+8D52	,zhōu
7373,	鿏,	U+9FCF	,mài
7374,	铹,	U+94F9	,láo
7375,	𬭊,	U+2CB4A,	dù
7376,	铽,	U+94FD	,tè
7377,	𨱇,	U+28C47,	qiú
7378,	𫓶,	U+2B4F6,	xuān
7379,	锊,	U+950A	,lüè
7380,	锍,	U+950D	,liǔ
7381,	锎,	U+950E	,kāi
7382,	𬭎,	U+2CB4E,	hóng
7383,	锓,	U+9513	,qǐn
7384,	犇,	U+7287	,bēn
7385,	颋,	U+988B	,tǐng
7386,	稌,	U+7A0C	,tú
7387,	筀,	U+7B40	,guì
7388,	筘,	U+7B58	,kòu
7389,	筜,	U+7B5C	,dāng
7390,	筥,	U+7B65	,jǔ
7391,	筅,	U+7B45	,xiǎn
7392,	傃,	U+5083	,sù
7393,	傉,	U+5089	,nù
7394,	翛,	U+7FDB	,xiāo
7395,	傒,	U+5092	,xī
7396,	傕,	U+5095	,jué
7397,	舾,	U+823E	,xī
7398,	畬,	U+756C	,yú
7399,	𫖯,	U+2B5AF,	fǔ
7400,	脿,	U+813F	,biǎo
7401,	腘,	U+8158	,guó
7402,	䐃,	U+4403	,jùn
7403,	腙,	U+8159	,zōng
7404,	腒,	U+8152	,jū
7405,	𬱟,	U+2CC5F,	wěi
7406,	鲃,	U+9C83	,bā
7407,	猰,	U+7330	,yà
7408,	𫛭,	U+2B6ED,	kuáng
7409,	猯,	U+732F	,tuān
7410,	㺄,	U+3E84	,yǔ
7411,	馉,	U+9989	,gǔ
7412,	凓,	U+51D3	,lì
7413,	鄗,	U+9117	,hào
7414,	𫷷,	U+2BDF7,	xīn
7415,	廋,	U+5ECB	,sōu
7416,	廆,	U+5EC6	,wěi
7417,	鄌,	U+910C	,táng
7418,	粢,	U+7CA2	,zī
7419,	遆,	U+9046	,tí
7420,	旐,	U+65D0	,zhào
7421,	𬮱,	U+2CBB1,	yīn
7422,	焞,	U+711E	,tūn
7423,	𬊤,	U+2C2A4,	chǎn
7424,	欻,	U+6B3B	,xū
7425,	𣸣,	U+23E23,	fén
7426,	溚,	U+6E9A	,dá
7427,	溁,	U+6E81	,yíng
7428,	湝,	U+6E5D	,jiē
7429,	渰,	U+6E30	,yǎn
7430,	湓,	U+6E53	,pén
7431,	㴔,	U+3D14	,jí
7432,	渟,	U+6E1F	,tíng
7433,	溠,	U+6EA0	,zhà
7434,	渼,	U+6E3C	,měi
7435,	溇,	U+6E87	,lóu
7436,	湣,	U+6E63	,mǐn
7437,	湑,	U+6E51	,xù
7438,	溞,	U+6E9E	,sāo
7439,	愐,	U+6110	,miǎn
7440,	愃,	U+6103	,xuān
7441,	敩,	U+6569	,xiào
7442,	甯,	U+752F	,nìng
7443,	棨,	U+68E8	,qǐ
7444,	扊,	U+624A	,yǎn
7445,	裣,	U+88E3	,liǎn
7446,	祼,	U+797C	,guàn
7447,	婻,	U+5A7B	,nàn
7448,	媆,	U+5A86	,ruǎn
7449,	媞,	U+5A9E	,shì
7450,	㛹,	U+36F9	,pián
7451,	媓,	U+5A93	,huáng
7452,	媂,	U+5A82	,dì
7453,	媄,	U+5A84	,měi
7454,	毵,	U+6BF5	,sān
7455,	矞,	U+77DE	,yù
7456,	𬴃,	U+2CD03,	huō
7457,	𫘨,	U+2B628,	tí
7458,	缊,	U+7F0A	,yùn
7459,	缐,	U+7F10	,xiàn
7460,	骙,	U+9A99	,kuí
7461,	瑃,	U+7443	,chūn
7462,	瑓,	U+7453	,liàn
7463,	瑅,	U+7445	,tí
7464,	瑆,	U+7446	,xīng
7465,	䴖,	U+4D16	,jīng
7466,	瑖,	U+7456	,duàn
7467,	瑝,	U+745D	,huáng
7468,	瑔,	U+7454	,quán
7469,	瑀,	U+7440	,yǔ
7470,	𤧛,	U+249DB,	dì
7471,	瑳,	U+7473	,cuō
7472,	瑂,	U+7442	,méi
7473,	嶅,	U+5D85	,áo
7474,	瑑,	U+7451	,zhuàn
7475,	遘,	U+9058	,gòu
7476,	髢,	U+9AE2	,dí
7477,	塥,	U+5865	,gé
7478,	堽,	U+583D	,gāng
7479,	赪,	U+8D6A	,chēng
7480,	摛,	U+645B	,chī
7481,	塝,	U+585D	,bàng
7482,	搒,	U+6412	,bàng，péng
7483,	搌,	U+640C	,zhǎn
7484,	蒱,	U+84B1	,pú
7485,	蒨,	U+84A8	,qiàn
7486,	蓏,	U+84CF	,luǒ
7487,	蔀,	U+8500	,bù
7488,	蓢,	U+84E2	,lǎng
7489,	蓂,	U+84C2	,mì
7490,	蒻,	U+84BB	,ruò
7491,	蓣,	U+84E3	,yù
7492,	椹,	U+6939	,shèn
7493,	楪,	U+696A	,dié
7494,	榃,	U+6983	,tán
7495,	榅,	U+6985	,wēn
7496,	楒,	U+6952	,sī
7497,	楞,	U+695E	,léng
7498,	楩,	U+6969	,pián
7499,	榇,	U+6987	,chèn
7500,	椸,	U+6938	,yí
7501,	楙,	U+6959	,mào
7502,	歅,	U+6B45	,yīn
7503,	𬪩,	U+2CAA9,	nóng
7504,	碃,	U+7883	,qìng
7505,	碏,	U+788F	,què
7506,	𬒔,	U+2C494,	gěng
7507,	碈,	U+7888	,hūn
7508,	䃅,	U+40C5	,dī
7509,	硿,	U+787F	,kòng
7510,	鄠,	U+9120	,hù
7511,	辒,	U+8F92	,wēn
7512,	𬨎,	U+2CA0E,	yóu
7513,	𫐓,	U+2B413,	róu
7514,	龆,	U+9F86	,tiáo
7515,	觜,	U+89DC	,zī
7516,	䣘,	U+48D8	,táng
7517,	暕,	U+6695	,jiǎn
7518,	鹍,	U+9E4D	,kūn
7519,	𫫇,	U+2BAC7,	è
7520,	㬊,	U+3B0A	,huǎn
7521,	暅,	U+6685	,gèng
7522,	跱,	U+8DF1	,zhì
7523,	蜐,	U+8710	,jié
7524,	蜎,	U+870E	,yuān
7525,	嵲,	U+5D72	,niè
7526,	赗,	U+8D57	,fèng
7527,	骱,	U+9AB1	,jiè
7528,	锖,	U+9516	,qiāng
7529,	𫓹,	U+2B4F9,	jī
7530,	锘,	U+9518	,nuò
7531,	锳,	U+9533	,yīng
7532,	锧,	U+9527	,zhì
7533,	锪,	U+952A	,huō
7534,	𬭚,	U+2CB5A,	chún
7535,	锫,	U+952B	,péi
7536,	锬,	U+952C	,tán
7537,	𬭛,	U+2CB5B,	bō
7538,	稑,	U+7A11	,lù
7539,	稙,	U+7A19	,zhī
7540,	䅟,	U+415F	,cǎn
7541,	𬕂,	U+2C542,	lǒng
7542,	筻,	U+7B7B	,gàng
7543,	筼,	U+7B7C	,yún
7544,	筶,	U+7B76	,gào
7545,	筦,	U+7B66	,guǎn
7546,	筤,	U+7B64	,láng
7547,	傺,	U+50BA	,chì
7548,	鹎,	U+9E4E	,bēi
7549,	僇,	U+50C7	,lù
7550,	艅,	U+8245	,yú
7551,	艉,	U+8249	,wěi
7552,	谼,	U+8C3C	,hóng
7553,	貆,	U+8C86	,huán
7554,	腽,	U+817D	,wà
7555,	腨,	U+8168	,shuàn
7556,	腯,	U+816F	,tú
7557,	鲉,	U+9C89	,yóu
7558,	鲊,	U+9C8A	,zhǎ
7559,	鲌,	U+9C8C	,bó
7560,	䲟,	U+4C9F	,yìn
7561,	𬶋,	U+2CD8B,	jū
7562,	𬶍,	U+2CD8D,	tuó
7563,	鲏,	U+9C8F	,pí
7564,	雊,	U+96CA	,gòu
7565,	猺,	U+733A	,yáo
7566,	飔,	U+98D4	,sī
7567,	觟,	U+89DF	,huà
7568,	𦝼,	U+2677C,	lóu，lǘ
7569,	馌,	U+998C	,yè
7570,	裛,	U+88DB	,yì
7571,	廒,	U+5ED2	,áo
7572,	瘀,	U+7600	,yū
7573,	瘅,	U+7605	,dān，dàn
7574,	鄘,	U+9118	,yōng
7575,	鹒,	U+9E52	,gēng
7576,	鄜,	U+911C	,fū
7577,	麀,	U+9E80	,yōu
7578,	鄣,	U+9123	,zhāng
7579,	阘,	U+9618	,tà
7580,	𫔶,	U+2B536,	niè
7581,	煁,	U+7141	,chén
7582,	煃,	U+7143	,kuǐ
7583,	煴,	U+7174	,yūn
7584,	煋,	U+714B	,xīng
7585,	煟,	U+715F	,wèi
7586,	煓,	U+7153	,tuān
7587,	滠,	U+6EE0	,shè
7588,	溍,	U+6E8D	,jìn
7589,	溹,	U+6EB9	,suǒ
7590,	滆,	U+6EC6	,gé
7591,	滉,	U+6EC9	,huàng
7592,	溦,	U+6EA6	,wēi
7593,	溵,	U+6EB5	,yīn
7594,	漷,	U+6F37	,huǒ
7595,	滧,	U+6EE7	,xiào
7596,	滘,	U+6ED8	,jiào
7597,	滍,	U+6ECD	,zhì
7598,	愭,	U+612D	,qí
7599,	慥,	U+6165	,zào
7600,	慆,	U+6146	,tāo
7601,	塱,	U+5871	,lǎng
7602,	𫌀,	U+2B300,	jī
7603,	裼,	U+88FC	,tì，xī
7604,	禋,	U+798B	,yīn
7605,	禔,	U+7994	,zhī
7606,	禘,	U+7998	,dì
7607,	禒,	U+7992	,xiǎn
7608,	谫,	U+8C2B	,jiǎn
7609,	鹔,	U+9E54	,sù
7610,	𫖳,	U+2B5B3,	yūn
7611,	愍,	U+610D	,mǐn
7612,	嫄,	U+5AC4	,yuán
7613,	媱,	U+5AB1	,yáo
7614,	戤,	U+6224	,gài
7615,	勠,	U+52E0	,lù
7616,	戣,	U+6223	,kuí
7617,	𫘪,	U+2B62A,	yuán
7618,	𫘬,	U+2B62C,	xí
7619,	缞,	U+7F1E	,cuī
7620,	耤,	U+8024	,jí
7621,	瑧,	U+7467	,zhēn
7622,	𫞩,	U+2B7A9,	mén
7623,	瑨,	U+7468	,jìn
7624,	瑱,	U+7471	,tiàn
7625,	瑷,	U+7477	,ài
7626,	瑢,	U+7462	,róng
7627,	斠,	U+65A0	,jiào
7628,	摏,	U+644F	,chōng
7629,	墕,	U+5895	,yān
7630,	墈,	U+5888	,kàn
7631,	墐,	U+5890	,jìn
7632,	墘,	U+5898	,qián
7633,	摴,	U+6474	,chū
7634,	銎,	U+928E	,qióng
7635,	𡐓,	U+21413,	kāng
7636,	墚,	U+589A	,liáng
7637,	撖,	U+6496	,hàn
7638,	𪤗,	U+2A917,	liào
7639,	靽,	U+977D	,bàn
7640,	鞁,	U+9781	,bèi
7641,	蔌,	U+850C	,sù
7642,	蔈,	U+8508	,piào
7643,	蓰,	U+84F0	,xǐ
7644,	蔹,	U+8539	,liǎn
7645,	蔊,	U+850A	,hǎn，hàn
7646,	嘏,	U+560F	,gǔ
7647,	榰,	U+69B0	,zhī
7648,	榑,	U+6991	,fú
7649,	槚,	U+69DA	,jiǎ
7650,	𣗋,	U+235CB,	dǎng
7651,	槜,	U+69DC	,zuì
7652,	榍,	U+698D	,xiè
7653,	疐,	U+7590	,zhì
7654,	𬸘,	U+2CE18,	yǎn
7655,	酺,	U+917A	,pú
7656,	酾,	U+917E	,shī
7657,	酲,	U+9172	,chéng
7658,	酴,	U+9174	,tú
7659,	碶,	U+78B6	,qì
7660,	䃎,	U+40CE	,zhà
7661,	𬒗,	U+2C497,	lán
7662,	碨,	U+78A8	,wèi
7663,	𥔲,	U+25532,	è
7664,	碹,	U+78B9	,xuàn
7665,	碥,	U+78A5	,biǎn
7666,	劂,	U+5282	,jué
7667,	𫚖,	U+2B696,	cǐ
7668,	䴗,	U+4D17	,jú
7669,	夥,	U+5925	,huǒ
7670,	瞍,	U+778D	,sǒu
7671,	鹖,	U+9E56	,hé
7672,	㬎,	U+3B0E	,xiǎn
7673,	跽,	U+8DFD	,jì
7674,	蜾,	U+873E	,guǒ
7675,	幖,	U+5E56	,biāo
7676,	嶍,	U+5D8D	,xí
7677,	圙,	U+5719	,lüè
7678,	𨱏,	U+28C4F,	dā
7679,	锺,	U+953A	,zhōng
7680,	锼,	U+953C	,sōu
7681,	锽,	U+953D	,huáng
7682,	𬭤,	U+2CB64,	hóu
7683,	锾,	U+953E	,huán
7684,	锿,	U+953F	,āi
7685,	镃,	U+9543	,zī
7686,	镄,	U+9544	,fèi
7687,	镅,	U+9545	,méi
7688,	馝,	U+999D	,bì
7689,	鹙,	U+9E59	,qiū
7690,	箨,	U+7BA8	,tuò
7691,	箖,	U+7B96	,lín
7692,	劄,	U+5284	,zhá
7693,	僬,	U+50EC	,jiāo
7694,	僦,	U+50E6	,jiù
7695,	僔,	U+50D4	,zǔn
7696,	僎,	U+50CE	,zhuàn
7697,	槃,	U+69C3	,pán
7698,	㙦,	U+3666	,xié
7699,	鲒,	U+9C92	,jié
7700,	鲕,	U+9C95	,ér
7701,	𫚕,	U+2B695,	shī
7702,	鲖,	U+9C96	,tóng
7703,	鲗,	U+9C97	,zéi
7704,	鲘,	U+9C98	,hòu
7705,	鲙,	U+9C99	,kuài
7706,	𬶐,	U+2CD90,	zhào
7707,	𬶏,	U+2CD8F,	wéi
7708,	𩽾,	U+29F7E,	ān
7709,	夐,	U+5910	,xiòng
7710,	獍,	U+734D	,jìng
7711,	飗,	U+98D7	,liú
7712,	𬸚,	U+2CE1A,	yuè
7713,	凘,	U+51D8	,sī
7714,	廑,	U+5ED1	,jǐn
7715,	廙,	U+5ED9	,yì
7716,	瘗,	U+7617	,yì
7717,	瘥,	U+7625	,chài
7718,	瘕,	U+7615	,jiǎ
7719,	鲝,	U+9C9D	,zhǎ
7720,	鄫,	U+912B	,zēng
7721,	熇,	U+7187	,hè
7722,	漹,	U+6F39	,yān
7723,	漖,	U+6F16	,jiào
7724,	潆,	U+6F46	,yíng
7725,	漤,	U+6F24	,lǎn
7726,	潩,	U+6F69	,yì
7727,	漼,	U+6F3C	,cuǐ
7728,	漴,	U+6F34	,chóng，shuāng
7729,	㽏,	U+3F4F	,gàn
7730,	漈,	U+6F08	,jì
7731,	漋,	U+6F0B	,lóng
7732,	漻,	U+6F3B	,liáo
7733,	慬,	U+616C	,qín
7734,	窬,	U+7AAC	,yú
7735,	窭,	U+7AAD	,jù
7736,	㮾,	U+3BBE	,lǎng
7737,	𬤝,	U+2C91D,	huì
7738,	褕,	U+8915	,yú
7739,	禛,	U+799B	,zhēn
7740,	禚,	U+799A	,zhuó
7741,	隩,	U+96A9	,ào
7742,	嫕,	U+5AD5	,yì
7743,	嫭,	U+5AED	,hù
7744,	嫜,	U+5ADC	,zhāng
7745,	嫪,	U+5AEA	,lào
7746,	𬙂,	U+2C642,	yǎn
7747,	㻬,	U+3EEC	,tū
7748,	麹,	U+9EB9	,qū
7749,	璆,	U+7486	,qiú
7750,	漦,	U+6F26	,chí
7751,	叇,	U+53C7	,dài
7752,	墣,	U+58A3	,pú
7753,	墦,	U+58A6	,fán
7754,	墡,	U+58A1	,shàn
7755,	劐,	U+5290	,huō
7756,	薁,	U+8581	,ào
7757,	蕰,	U+8570	,wēn
7758,	蔃,	U+8503	,qiáng
7759,	鼒,	U+9F12	,zī
7760,	槱,	U+69F1	,yǒu
7761,	鹝,	U+9E5D	,yì
7762,	磏,	U+78CF	,qiān
7763,	磉,	U+78C9	,sǎng
7764,	殣,	U+6BA3	,jìn
7765,	慭,	U+616D	,yìn
7766,	霅,	U+9705	,zhà
7767,	暵,	U+66B5	,hàn
7768,	暲,	U+66B2	,zhāng
7769,	暶,	U+66B6	,xuán
7770,	踦,	U+8E26	,yǐ
7771,	踣,	U+8E23	,bó
7772,	䗖,	U+45D6	,dì
7773,	蝘,	U+8758	,yǎn
7774,	蝲,	U+8772	,là
7775,	蝤,	U+8764	,qiú，yóu
7776,	噇,	U+5647	,chuáng
7777,	噂,	U+5642	,zǔn
7778,	噀,	U+5640	,xùn
7779,	罶,	U+7F76	,liǔ
7780,	嶲,	U+5DB2	,xī
7781,	嶓,	U+5D93	,bō
7782,	㠇,	U+3807	,jiù
7783,	嶟,	U+5D9F	,zūn
7784,	嶒,	U+5D92	,céng
7785,	镆,	U+9546	,mò
7786,	镈,	U+9548	,bó
7787,	镋,	U+954B	,tǎng
7788,	镎,	U+954E	,ná
7789,	𬭩,	U+2CB69,	wēng
7790,	镕,	U+9555	,róng
7791,	稹,	U+7A39	,zhěn
7792,	儇,	U+5107	,xuān
7793,	皞,	U+769E	,hào
7794,	皛,	U+769B	,xiǎo
7795,	䴘,	U+4D18	,tī
7796,	艎,	U+824E	,huáng
7797,	艏,	U+824F	,shǒu
7798,	鹟,	U+9E5F	,wēng
7799,	𩾃,	U+29F83,	miǎn
7800,	鲦,	U+9CA6	,tiáo
7801,	鲪,	U+9CAA	,jūn
7802,	鲬,	U+9CAC	,yǒng
7803,	橥,	U+6A65	,zhū
7804,	觭,	U+89ED	,jī
7805,	鹠,	U+9E60	,liú
7806,	鹡,	U+9E61	,jí
7807,	糇,	U+7CC7	,hóu
7808,	糈,	U+7CC8	,xǔ
7809,	翦,	U+7FE6	,jiǎn
7810,	鹢,	U+9E62	,yì
7811,	鹣,	U+9E63	,jiān
7812,	熛,	U+719B	,biāo
7813,	潖,	U+6F56	,pá
7814,	潵,	U+6F75	,sǎ
7815,	㵐,	U+3D50	,jué
7816,	澂,	U+6F82	,chéng
7817,	澛,	U+6F9B	,lǔ
7818,	瑬,	U+746C	,liú
7819,	潽,	U+6F7D	,pū
7820,	潾,	U+6F7E	,lín
7821,	潏,	U+6F4F	,yù
7822,	憭,	U+61AD	,liǎo
7823,	憕,	U+6195	,chéng
7824,	𬸣,	U+2CE23,	xiān
7825,	戭,	U+622D	,yǎn
7826,	褯,	U+892F	,jiè
7827,	禤,	U+79A4	,xuān
7828,	𫍽,	U+2B37D,	xuān
7829,	嫽,	U+5AFD	,liáo
7830,	遹,	U+9079	,yù
7831,	𬴊,	U+2CD0A,	lín
7832,	璥,	U+74A5	,jǐng
7833,	璲,	U+74B2	,suì
7834,	璒,	U+7492	,dēng
7835,	憙,	U+6199	,xǐ
7836,	擐,	U+64D0	,huàn
7837,	鄹,	U+9139	,zōu
7838,	薳,	U+85B3	,wěi
7839,	鞔,	U+9794	,mán
7840,	黇,	U+9EC7	,tiān
7841,	𬞟,	U+2C79F,	pín
7842,	蕗,	U+8557	,lù
7843,	薢,	U+85A2	,xiè
7844,	蕹,	U+8579	,wèng
7845,	橞,	U+6A5E	,huì
7846,	橑,	U+6A51	,liáo
7847,	橦,	U+6A66	,tóng
7848,	醑,	U+9191	,xǔ
7849,	觱,	U+89F1	,bì
7850,	磡,	U+78E1	,kàn
7851,	𥕢,	U+25562,	cáo
7852,	磜,	U+78DC	,qì
7853,	豮,	U+8C6E	,fén
7854,	𫟦,	U+2B7E6,	suì
7855,	𬺈,	U+2CE88,	yǐ
7856,	𫠜,	U+2B81C,	ní
7857,	鹾,	U+9E7E	,cuó
7858,	虤,	U+8664	,yán
7859,	暿,	U+66BF	,xī
7860,	曌,	U+66CC	,zhào
7861,	曈,	U+66C8	,tóng
7862,	㬚,	U+3B1A	,chè
7863,	蹅,	U+8E45	,chǎ
7864,	踶,	U+8E36	,dì
7865,	䗛,	U+45DB	,xiū
7866,	螗,	U+8797	,táng
7867,	疁,	U+7581	,liú
7868,	㠓,	U+3813	,méng
7869,	幪,	U+5E6A	,méng
7870,	𪩘,	U+2AA58,	yǎn
7871,	嶦,	U+5DA6	,shàn
7872,	𬭬,	U+2CB6C,	huì
7873,	𨱑,	U+28C51,	huáng
7874,	𬭯,	U+2CB6F,	piě
7875,	馞,	U+999E	,bó
7876,	穄,	U+7A44	,jì
7877,	篚,	U+7BDA	,fěi
7878,	篯,	U+7BEF	,jiān
7879,	簉,	U+7C09	,zào
7880,	鼽,	U+9F3D	,qiú
7881,	衠,	U+8860	,zhūn
7882,	盦,	U+76E6	,ān
7883,	螣,	U+87A3	,téng
7884,	縢,	U+7E22	,téng
7885,	鲭,	U+9CAD	,qīng
7886,	鲯,	U+9CAF	,qí
7887,	鲰,	U+9CB0	,zōu
7888,	鲺,	U+9CBA	,shī
7889,	鲹,	U+9CB9	,shēn
7890,	𫗴,	U+2B5F4,	zhān
7891,	亸,	U+4EB8	,duǒ
7892,	癀,	U+7640	,huáng
7893,	瘭,	U+762D	,biāo
7894,	𬸦,	U+2CE26,	zhuó
7895,	羱,	U+7FB1	,yuán
7896,	糒,	U+7CD2	,bèi
7897,	燋,	U+71CB	,jiāo
7898,	熻,	U+71BB	,xī
7899,	燊,	U+71CA	,shēn
7900,	燚,	U+71DA	,yì
7901,	燏,	U+71CF	,yù
7902,	濩,	U+6FE9	,huò
7903,	濋,	U+6FCB	,chǔ
7904,	澪,	U+6FAA	,líng
7905,	澽,	U+6FBD	,jù
7906,	澴,	U+6FB4	,huán
7907,	澭,	U+6FAD	,yōng
7908,	澼,	U+6FBC	,pì
7909,	憷,	U+61B7	,chù
7910,	憺,	U+61BA	,dàn
7911,	懔,	U+61D4	,lǐn
7912,	黉,	U+9EC9	,hóng
7913,	嬛,	U+5B1B	,xuān
7914,	鹨,	U+9E68	,liù
7915,	翯,	U+7FEF	,hè
7916,	𫄷,	U+2B137,	yì
7917,	璱,	U+74B1	,sè
7918,	𤩽,	U+24A7D,	huán
7919,	璬,	U+74AC	,jiǎo
7920,	璮,	U+74AE	,tǎn
7921,	髽,	U+9AFD	,zhuā
7922,	擿,	U+64FF	,tī
7923,	薿,	U+85BF	,nǐ
7924,	薸,	U+85B8	,piáo
7925,	檑,	U+6A91	,léi
7926,	櫆,	U+6AC6	,kuí
7927,	檞,	U+6A9E	,jiě
7928,	醨,	U+91A8	,lí
7929,	繄,	U+7E44	,yī
7930,	磹,	U+78F9	,tán
7931,	磻,	U+78FB	,pán
7932,	瞫,	U+77AB	,shěn
7933,	瞵,	U+77B5	,lín
7934,	蹐,	U+8E50	,jí
7935,	蟏,	U+87CF	,xiāo
7936,	㘎,	U+360E	,hǎn
7937,	𬭳,	U+2CB73,	xǐ
7938,	镤,	U+9564	,pú
7939,	𬭶,	U+2CB76,	hēi
7940,	𫔍,	U+2B50D,	fán
7941,	镥,	U+9565	,lǔ
7942,	镨,	U+9568	,pǔ
7943,	𬭸,	U+2CB78,	lín
7944,	𨱔,	U+28C54,	zūn
7945,	𬭼,	U+2CB7C,	suì
7946,	𫔎,	U+2B50E,	jué
7947,	矰,	U+77F0	,zēng
7948,	穙,	U+7A59	,pú
7949,	穜,	U+7A5C	,tóng
7950,	穟,	U+7A5F	,suì
7951,	簕,	U+7C15	,lè
7952,	簃,	U+7C03	,yí
7953,	簏,	U+7C0F	,lù
7954,	儦,	U+5126	,biāo
7955,	魋,	U+9B4B	,tuí
